﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesniveau;Undersøgelsesmetode;Teknisk anvisning;Dataejer;Link;Dybdezone;Garnplacering;Taxonkode;Artkode;Art latin;Art;Simpelt Gns CPUE - pr art <10 cm (antal);Simpelt Gns CPUE - pr art >=10 cm (antal);Simpelt Gns CPUE - pr art - total (antal);Simpelt Gns CPUE - pr art <10 cm (vægt);Simpelt Gns CPUE - pr art >=10 cm (vægt);Simpelt Gns CPUE - pr art - total (vægt);Volumenvægtet CPUE - pr art <10 cm (antal);Volumenvægtet CPUE - pr art >=10 cm (antal);Volumenvægtet CPUE - pr art - total (antal);Volumenvægtet CPUE - pr art <10 cm (vægt);Volumenvægtet CPUE - pr art >=10 cm (vægt);Volumenvægtet CPUE - pr art - total (vægt);Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1301430100;25;Tinca tinca;Suder;0;0,4;0,4;0;708,9;708,9;0;0,4;0,4;0;708,9;708,9;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1301330100;32;Rutilus rutilus;Skalle;27,25;12;39,25;138,125;948;1086,125;27,25;12;39,25;138,125;948;1086,125;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;2802020100;50;Gymnocephalus cernuus;Hork;24,125;0,125;24,25;90,5;2;92,5;24,125;0,125;24,25;90,5;2;92,5;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301430100;25;Tinca tinca;Suder;22,7;1,7;24,4;45,080000000000005;556,92;602;22,7;1,7;24,4;45,080000000000005;556,92;602;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301380300;26;Abramis brama;Brasen;2,4;0,1;2,5;6,88;4,7;11,58;2,4;0,1;2,5;6,88;4,7;11,58;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1302030100;38;Cobitis taenia;Pigsmerling;0,2;0;0,2;0,5900000000000001;0;0,5900000000000001;0,2;0;0,2;0,5900000000000001;0;0,5900000000000001;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301370100;31;Scardinius erythropthalmus;Rudskalle;0;2,7;2,7;0;185,88;185,88;0;2,7;2,7;0;185,88;185,88;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;2802010100;49;Perca fluviatilis;Aborre;65,8;10,2;76;291,07;1126,35;1417,4199999999998;65,8;10,2;76;291,07;1126,35;1417,4199999999998;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,5;0,5;0;1217,6;1217,6;0;0,5;0,5;0;1217,6;1217,6;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,25;0,25;0;104,125;104,125;0;0,25;0,25;0;104,125;104,125;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1301380300;26;Abramis brama;Brasen;1,8;0,3;2,1;4,43;13,2;17,63;1,8;0,3;2,1;4,43;13,2;17,63;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;2802010100;49;Perca fluviatilis;Aborre;37,3;43,4;80,69999999999999;176,85000000000002;3347,3;3524,15;37,3;43,4;80,69999999999999;176,85000000000002;3347,3;3524,15;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;2802010100;49;Perca fluviatilis;Aborre;45,875;5,5;51,375;373,6875;1149,2125;1522,9;45,875;5,5;51,375;373,6875;1149,2125;1522,9;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;2802020100;50;Gymnocephalus cernuus;Hork;8;0,2;8,2;27,159999999999997;3,8;30,959999999999997;8;0,2;8,2;27,159999999999997;3,8;30,959999999999997;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1301370100;31;Scardinius erythropthalmus;Rudskalle;0;0,125;0,125;0;99;99;0;0,125;0,125;0;99;99;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1301590100;28;Alburnus alburnus;Løje;0,4;0;0,4;0,72;0;0,72;0,4;0;0,4;0,72;0;0,72;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,2;0,2;0;25,34;25,34;0;0,2;0,2;0;25,34;25,34;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;2802020100;50;Gymnocephalus cernuus;Hork;19,1;0;19,1;39,309999999999995;0;39,309999999999995;19,1;0;19,1;39,309999999999995;0;39,309999999999995;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301330100;32;Rutilus rutilus;Skalle;0;0,2;0,2;0;38,2;38,2;0;0,2;0,2;0;38,2;38,2;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1301380300;26;Abramis brama;Brasen;32,375;0;32,375;74,625;0;74,625;32,375;0;32,375;74,625;0;74,625;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1301430100;25;Tinca tinca;Suder;2,5;1,3;3,8;21,37;28,1;49,47;2,5;1,3;3,8;21,37;28,1;49,47;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;2802010100;49;Perca fluviatilis;Aborre;39,4;9,9;49,3;206,46999999999997;1344;1550,47;39,4;9,9;49,3;206,46999999999997;1344;1550,47;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1301370100;31;Scardinius erythropthalmus;Rudskalle;0,8;1,9;2,7;8,95;247,68;256,63;0,8;1,9;2,7;8,95;247,68;256,63;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1301330100;32;Rutilus rutilus;Skalle;9,2;20,7;29,9;33,61;966,2;999,8100000000001;9,2;20,7;29,9;33,61;966,2;999,8100000000001;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,3;0,3;0;581,7;581,7;0;0,3;0,3;0;581,7;581,7;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1301430100;25;Tinca tinca;Suder;0;0,125;0,125;0;204,375;204,375;0;0,125;0,125;0;204,375;204,375;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;2802020100;50;Gymnocephalus cernuus;Hork;7,2;0,1;7,3;44,31;1,58;45,89;7,2;0,1;7,3;44,31;1,58;45,89;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1301330100;32;Rutilus rutilus;Skalle;10,2;22;32,2;54;644,29;698,29;10,2;22;32,2;54;644,29;698,29;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1301370100;31;Scardinius erythropthalmus;Rudskalle;0,6;4,3;4,8999999999999995;8,150000000000002;335,14;343,28999999999996;0,6;4,3;4,8999999999999995;8,150000000000002;335,14;343,28999999999996;2
